Priorytet;Firma;Miasto;Telefon;Email;Osoba decyzyjna;Status strony;Strona lub profil;Dlaczego warto zadzwonić;Sygnał aktywności;Źródło;Status kontaktu;Dzwoniono;Następny kontakt;Notatki
A;Arenda Nieruchomości;Wilkowice koło Bielska;+48 501 131 420;;Właściciel biura;Tylko profil na Gratka;https://nieruchomosci-arenda.gratka.pl;Biuro oferuje pośrednictwo, wyceny i pomoc kredytową, ale nie ma własnej strony. Dobry argument: jedna witryna dla wszystkich usług i formularz wyceny.;Trzy numery kontaktowe i szeroka oferta;https://pprn.pl/wizytowka/arenda-nieruchomosci/;Nowy;Nie;;
A;Biuro Nieruchomości LOCUM;Jelenia Góra;+48 693 400 805;;Właściciel biura;Tylko profil na Gratka;https://www.locumjg.gratka.pl;Firma działa od 1990 roku, ale nie ma samodzielnej strony. Bardzo mocny argument: doświadczenie firmy nie jest pokazane na poziomie własnej marki.;Długa historia działalności i bezpośredni telefon;https://pprn.pl/wizytowka/biuro-nieruchomosci-locum-2/;Nowy;Nie;;
A;Ryszkowski Nieruchomości;Zamość;+48 667 686 665;biuro@ryszkowski.nieruchomosci.pl;Adam Ryszkowski;Strona w subdomenie nieruchomosci.pl;https://www.ryszkowski.nieruchomosci.pl;Firma ma właściciela, oferty i aktywną markę, ale pozostaje zależna od cudzej domeny. Można sprzedać migrację na własną domenę i nowy panel.;Właściciel wskazany publicznie i aktywne oferty;https://www.ryszkowski.nieruchomosci.pl/kontakt;Nowy;Nie;;
A;AJLAND Real Estate;Poznań;+48 503 809 939;biuro@aj.nieruchomosci.pl;Adam Jasiński;Strona w subdomenie nieruchomosci.pl;https://aj.nieruchomosci.pl;Marka wygląda samodzielnie, ale korzysta z subdomeny. Dobry argument: własna domena, silniejsze SEO i formularz pozyskiwania nieruchomości.;Bezpłatne konsultacje i bezpośredni kontakt z właścicielem;https://aj.nieruchomosci.pl/kontakt/;Nowy;Nie;;
A;BEWE Nieruchomości;Białystok;+48 660 474 444;biuro@bewe.nieruchomosci.pl;Elżbieta Bociąga;Strona w subdomenie nieruchomosci.pl;https://www.bewe.nieruchomosci.pl;Małe biuro z bezpośrednim właścicielem i stroną w subdomenie. Dobry lead pod prostą własną witrynę i panel ofert.;Właścicielka i publiczny telefon;https://www.bewe.nieruchomosci.pl/kontakt.html;Nowy;Nie;;
A;ASPECT Nieruchomości;Szczecin;+48 603 391 033;biuro@aspect.nieruchomosci.pl;Małgorzata Baumgart;Stara strona i subdomena nieruchomosci.pl;https://www.aspect.nieruchomosci.pl;Serwis wskazuje wykonanie systemu z 2010 roku i ma klasyczny układ katalogowy. Mocny argument: modernizacja bez utraty bazy ofert.;Właścicielka, dużo ofert i bezpośredni numer;https://www.aspect.nieruchomosci.pl/pl/kontakt;Nowy;Nie;;
A;DOMATOR Krystyna Karczewska;Legnica;+48 605 513 403;;Krystyna Karczewska;Strona w subdomenie nieruchomosci.pl;https://domator.nieruchomosci.pl;Firma działa od 2003 roku i ma doświadczenie, ale strona opiera się na cudzej domenie. Dobry lead pod migrację i własny wizerunek.;Doświadczony zespół i bezpośredni telefon;https://pprn.pl/wizytowka/biuro-nieruchomosci-domator-krystyna-karczewska/;Nowy;Nie;;
A;ARMA Nieruchomości;Stargard;+48 501 053 187;;Właściciel biura;Strona w subdomenie nieruchomosci.pl;https://www.arma.nieruchomosci.pl;Firma deklaruje wysoką skuteczność, ale działa na subdomenie. Można sprzedać własną stronę, lepsze pozycjonowanie lokalne i formularz wyceny.;Silna pozycja lokalna i publiczny telefon;https://pprn.pl/wizytowka/arma-nieruchomosci/;Nowy;Nie;;
A;PATRON Nieruchomości;Bolesławiec;+48 694 106 200;;Właściciel biura;Stara lokalna subdomena;https://www.patron.boleslawiec.pl;Firma promuje się nawet telebimem LED, ale internetowo pozostaje na starej lokalnej subdomenie. Bardzo dobry kontrast sprzedażowy.;Inwestuje w reklamę offline i ma publiczny telefon;https://pprn.pl/wizytowka/patron-nieruchomosci/;Nowy;Nie;;
A;INVEST Zuzanna Sitarz;Lubartów;+48 606 240 916;;Zuzanna Sitarz;Stara i trudna domena z polskimi znakami;https://www.nieruchomościlubartów.pl;Firma aktywnie promuje oferty w wielu kanałach, ale domena jest trudna do wpisania i zapamiętania. Dobry lead pod prostszą domenę i nową stronę.;Aktywne publikowanie ofert i bezpośredni właściciel;https://pprn.pl/wizytowka/biuro-nieruchomosci-invest-zuzanna-sitarz/;Nowy;Nie;;
B;To jest To – Biuro Nieruchomości Maja Porowska;Hrubieszów;+48 606 261 421;biuro@tojestto.net.pl;Maja Porowska;Bardzo stary portalowy układ;https://www.tojestto.net.pl;Firma ma ponad sto ofert i aktywną właścicielkę, ale strona wygląda jak stary katalog. Mocny argument: nowoczesna prezentacja bez utraty ofert.;110+ ofert i bezpośredni numer właścicielki;https://www.tojestto.net.pl/;Nowy;Nie;;
B;Biuro Nieruchomości ANMA;Lublin;+48 508 910 810;biuro@anma.lublin.pl;Magdalena Staniszewska;Stary katalog ofert;https://www.anma.lublin.pl;Firma ma długą historię i wiele ofert, ale witryna jest klasycznym starym systemem MLS. Dobry lead pod modernizację strony i formularzy.;Wiele ofert, rozpoznawalność i bezpośredni telefon;https://www.anma.lublin.pl/;Nowy;Nie;;
B;Nieruchomości KOMES;Olsztyn;+48 602 313 371;komes@komes.olsztyn.pl;Andrzej Woźniak;Stary katalog z małą liczbą ofert;https://www.komes.olsztyn.pl;Firma działa od 1995 roku, ale obecna strona ma stary układ i tylko kilka ofert. Można zaproponować stronę ekspercką i pozyskiwanie nieruchomości.;Właściciel publiczny i długoletnia działalność;https://www.komes.olsztyn.pl/;Nowy;Nie;;
B;Biuro Nieruchomości ADMIN;Toruń;+48 502 503 341;;Osoba zarządzająca;Niespójna, starsza witryna;https://biuroadmin.com;Firma zarządza wieloma nieruchomościami i ma kilka działów. Konkretny argument: uporządkowanie zgłoszeń i nowa strona usługowa.;Duża liczba obsługiwanych nieruchomości;https://pprn.pl/wizytowka/biuro-nieruchomosci-admin-s-c/;Nowy;Nie;;
B;ADRES-NIERUCHOMOŚCI;Lublin;+48 605 675 578;;Aneta Krusińska;Stara lokalna witryna;https://www.adres.lublin.pl;Firma działa od 2007 roku i ma właścicielkę z doświadczeniem prawnym, ale strona ma klasyczny starszy układ. Dobry lead pod odświeżenie i formularz wyceny.;Bezpośrednia właścicielka i publiczny telefon;https://pprn.pl/wizytowka/adres-nieruchomosci/;Nowy;Nie;;
B;Biuro Nieruchomości TARA;Żnin;+48 500 245 474;maria.rogaczewska@wp.pl;Maria Rogaczewska;Starsza witryna katalogowa;https://www.nieruchomoscitara.pl;Pierwsze biuro na lokalnym rynku z długim doświadczeniem, ale strona ma stary układ. Można sprzedać modernizację bez zmiany marki.;Silna historia lokalna i bezpośredni telefon;https://pprn.pl/wizytowka/biuro-posrednictwa-w-obrocie-nieruchomosciami-tara/;Nowy;Nie;;
B;KOMPLEX Pośrednictwo Nieruchomości;Ostrów Wielkopolski;+48 604 687 781;;Sławomir Wróbel;Starsza strona usługowa;https://komplexostrow.pl;Firma działa od 1995 roku i oferuje wiele usług, ale witryna nie pokazuje poziomu doświadczenia. Dobry lead pod stronę ekspercką i formularz sprzedaży.;Właściciel wskazany i długoletnia działalność;https://pprn.pl/wizytowka/komplex-posrednictwo-nieruchomosci/;Nowy;Nie;;
B;Podkarpackie Biuro Nieruchomości;Strzyżów;+48 514 085 263;;Ewa Piórkowska;Starsza strona lokalna;https://www.podkarpackienieruchomosci.eu;Firma działa lokalnie od wielu lat, ale strona ma klasyczny układ. Można proponować nową wersję z lepszym pozyskiwaniem właścicieli.;Właścicielka z doświadczeniem od 1999 roku;https://pprn.pl/wizytowka/podkarpackie-biuro-nieruchomosci/;Nowy;Nie;;
B;Biuro Nieruchomości SPEKTRUM;Dzierżoniów;+48 501 398 470;;Właściciel biura;Stara domena niezwiązana z marką;https://www.nieruchomosci-galon.pl;Nazwa marki i domena nie są spójne. To konkretny argument za uporządkowaniem marki i migracją na nową domenę.;Publiczny telefon i aktywne pośrednictwo;https://pprn.pl/wizytowka/biuro-nieruchomosci-spektrum/;Nowy;Nie;;
B;Biuro Pośrednictwa Nieruchomości Jan Gudyka;Limanowa;+48 600 033 729;;Jan Gudyka;Starsza lokalna witryna;https://www.nieruchomosci.limanowa.pl;Firma działa od 1997 roku i oferuje również kredyty oraz projekty domów. Strona może lepiej rozdzielić te usługi i pozyskiwać zapytania.;Bezpośredni właściciel i szeroki zakres usług;https://pprn.pl/wizytowka/biuro-posrednictwa-nieruchomosci-jan-gudyka/;Nowy;Nie;;
B;Hollydom Biuro Nieruchomości;Lublin;+48 607 468 943;hollydom@o2.pl;Właściciel biura;Prosta starsza witryna;https://www.hollydom.pl;Firma posiada własną stronę, ale komunikacja jest bardzo podstawowa. Dobry lead pod odświeżenie, lepszą prezentację ofert i email domenowy.;Publiczny numer i email w darmowej domenie;https://pprn.pl/wizytowka/hollydom-biuro-nieruchomosci/;Nowy;Nie;;
B;BRUKAR Nieruchomości;Opole;+48 606 137 138;;Jerzy Lewowski;Stara wielobranżowa witryna;https://www.brukar.com.pl;Firma łączy nieruchomości, budowę domów i doradztwo kredytowe. Obecna marka i strona są rozproszone, co daje argument za uporządkowaniem usług.;Firma działa od 1983 roku i ma kilka numerów;https://pprn.pl/wizytowka/brukar-nieruchomosci/;Nowy;Nie;;
B;NIERUCHOMOŚCI BILBIN;Suwałki;+48 602 211 322;;Katarzyna Bilbin;Starsza witryna ofertowa;https://www.bilbin.pl;Firma ma wieloletnie doświadczenie i własną domenę, ale witryna może być znacznie bardziej nowoczesna i nastawiona na pozyskiwanie właścicieli.;Właścicielka, bezpośredni telefon i aktywne biuro;https://pprn.pl/wizytowka/nieruchomosci-bilbin-katarzyna-bilbin/;Nowy;Nie;;
B;P.M. Nieruchomości;Rybnik;+48 508 070 593;;Właściciel biura;Starsza witryna ofertowa;https://www.pmnieruchomosci.pl;Firma działa od 1999 roku i promuje nieruchomości, ale strona ma klasyczny charakter katalogu. Można zaoferować nową ścieżkę pozyskiwania sprzedających.;Długa historia i aktywne doradztwo;https://pprn.pl/wizytowka/p-m-nieruchomosci/;Nowy;Nie;;
B;MOREK Nieruchomości;Kołobrzeg;+48 886 705 201;;Właściciel biura;Starsza witryna ofertowa;https://www.moreknieruchomosci.pl;Firma ma szeroką lokalną ofertę i klientów inwestycyjnych, ale strona jest klasycznym katalogiem. Dobry lead pod nowoczesną prezentację inwestycji.;Dwa numery komórkowe i aktywny rynek lokalny;https://pprn.pl/wizytowka/morek-nieruchomosci/;Nowy;Nie;;
